sample_id,cvat_filename,kind,original_filename,source_path,talc_percent,split
000024,000024.jpg,ch1_detail,DSCN4718.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN4718.JPG,61.44,train
000025,000025.jpg,ch1_detail,DSCN4719.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN4719.JPG,52.32,train
000026,000026.jpg,ch1_detail,DSCN4720.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN4720.JPG,7.26,train
000027,000027.jpg,ch1_detail,DSCN4721.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN4721.JPG,26.11,train
000028,000028.jpg,ch1_detail,DSCN4727.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN4727.JPG,40.78,train
000029,000029.jpg,ch1_detail,DSCN4728.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN4728.JPG,29.57,val
000030,000030.jpg,ch1_detail,DSCN4730.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN4730.JPG,42.81,train
000031,000031.jpg,ch1_detail,DSCN4731.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN4731.JPG,39.41,train
000032,000032.jpg,ch1_detail,DSCN4732.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN4732.JPG,28.54,train
000033,000033.jpg,ch1_detail,DSCN4733.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN4733.JPG,15.33,train
000034,000034.jpg,ch1_detail,DSCN4734.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN4734.JPG,40.21,train
000035,000035.jpg,ch1_detail,DSCN4735.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN4735.JPG,29.34,train
000036,000036.jpg,ch1_detail,DSCN4754.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN4754.JPG,58.57,train
000037,000037.jpg,ch1_detail,DSCN4755.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN4755.JPG,34.98,train
000038,000038.jpg,ch1_detail,DSCN5032.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN5032.JPG,15.4,train
000039,000039.jpg,ch1_detail,DSCN5180.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN5180.JPG,29.89,val
000040,000040.jpg,ch1_detail,DSCN5183.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN5183.JPG,31.84,train
000041,000041.jpg,ch1_detail,DSCN5185.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN5185.JPG,17.72,train
000042,000042.jpg,ch1_detail,DSCN5186.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN5186.JPG,16.18,train
000043,000043.jpg,ch1_detail,2539589-1.JPG,Фото руд по сортам. ч1/Рядовые руды/2539589-1.JPG,1.9,val
000045,000045.jpg,ch1_detail,2539590-1.JPG,Фото руд по сортам. ч1/Рядовые руды/2539590-1.JPG,18.85,train
000046,000046.jpg,ch1_detail,2544791-1 10x аншлиф.JPG,Фото руд по сортам. ч1/Рядовые руды/2544791-1 10x аншлиф.JPG,41.43,train
000047,000047.jpg,ch1_detail,2544791-2 10x аншлиф.JPG,Фото руд по сортам. ч1/Рядовые руды/2544791-2 10x аншлиф.JPG,4.62,train
000051,000051.jpg,ch1_detail,2548036 5x 2.JPG,Фото руд по сортам. ч1/Рядовые руды/2548036 5x 2.JPG,21.86,train
000052,000052.jpg,ch1_detail,2548037 10x 2.JPG,Фото руд по сортам. ч1/Рядовые руды/2548037 10x 2.JPG,3.69,train
000055,000055.jpg,ch1_detail,2550501-1 20x.JPG,Фото руд по сортам. ч1/Рядовые руды/2550501-1 20x.JPG,4.15,train
000062,000062.jpg,ch1_detail,2652982 5x 16.JPG,Фото руд по сортам. ч1/Рядовые руды/2652982 5x 16.JPG,21.39,train
000067,000067.jpg,ch1_detail,DSCN2012.JPG,Фото руд по сортам. ч1/Рядовые руды/DSCN2012.JPG,12.76,val
001180,001180.jpg,panorama_tile,4_tile_r00_c00.jpg,"Панорамы/4.jpg grid 0,0 of 4x4 px [0:3428,0:2699]",14.81,train
001181,001181.jpg,panorama_tile,4_tile_r00_c01.jpg,"Панорамы/4.jpg grid 0,1 of 4x4 px [3428:6856,0:2699]",15.63,val
001182,001182.jpg,panorama_tile,4_tile_r00_c02.jpg,"Панорамы/4.jpg grid 0,2 of 4x4 px [6856:10284,0:2699]",27.35,train
001183,001183.jpg,panorama_tile,4_tile_r00_c03.jpg,"Панорамы/4.jpg grid 0,3 of 4x4 px [10284:13712,0:2699]",20.28,train
001184,001184.jpg,panorama_tile,4_tile_r01_c00.jpg,"Панорамы/4.jpg grid 1,0 of 4x4 px [0:3428,2699:5399]",6.78,val
001185,001185.jpg,panorama_tile,4_tile_r01_c01.jpg,"Панорамы/4.jpg grid 1,1 of 4x4 px [3428:6856,2699:5399]",1.48,train
001186,001186.jpg,panorama_tile,4_tile_r01_c02.jpg,"Панорамы/4.jpg grid 1,2 of 4x4 px [6856:10284,2699:5399]",6.55,train
001187,001187.jpg,panorama_tile,4_tile_r01_c03.jpg,"Панорамы/4.jpg grid 1,3 of 4x4 px [10284:13712,2699:5399]",22.56,train
001188,001188.jpg,panorama_tile,4_tile_r02_c00.jpg,"Панорамы/4.jpg grid 2,0 of 4x4 px [0:3428,5399:8098]",12.67,train
001189,001189.jpg,panorama_tile,4_tile_r02_c01.jpg,"Панорамы/4.jpg grid 2,1 of 4x4 px [3428:6856,5399:8098]",25.08,train
001190,001190.jpg,panorama_tile,4_tile_r02_c02.jpg,"Панорамы/4.jpg grid 2,2 of 4x4 px [6856:10284,5399:8098]",25.05,train
001191,001191.jpg,panorama_tile,4_tile_r02_c03.jpg,"Панорамы/4.jpg grid 2,3 of 4x4 px [10284:13712,5399:8098]",7.79,train
