id,cvat_filename,original_filename,kind,source_path,has_reference_blue,reference_source_path
13,000013.jpg,DSCN3051.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN3051.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN3051.JPG
14,000014.jpg,DSCN3052.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN3052.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN3052.JPG
15,000015.jpg,DSCN3053.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN3053.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN3053.JPG
16,000016.jpg,DSCN3056.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN3056.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN3056.JPG
17,000017.jpg,DSCN3057.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN3057.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN3057.JPG
18,000018.jpg,DSCN3066.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN3066.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN3066.JPG
19,000019.jpg,DSCN4695.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4695.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN4695.JPG
20,000020.jpg,DSCN4708.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4708.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN4708.JPG
21,000021.jpg,DSCN4714.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4714.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN4714.JPG
22,000022.jpg,DSCN4715.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4715.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN4715.JPG
23,000023.jpg,DSCN4717.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4717.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN4717.JPG
24,000024.jpg,DSCN4718.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4718.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN4718.JPG
25,000025.jpg,DSCN4719.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4719.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN4719.JPG
26,000026.jpg,DSCN4720.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4720.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN4720.JPG
27,000027.jpg,DSCN4721.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4721.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN4721.JPG
28,000028.jpg,DSCN4727.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4727.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN4727.JPG
29,000029.jpg,DSCN4728.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4728.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN4728.JPG
30,000030.jpg,DSCN4730.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4730.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN4730.JPG
31,000031.jpg,DSCN4731.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4731.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN4731.JPG
32,000032.jpg,DSCN4732.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4732.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN4732.JPG
33,000033.jpg,DSCN4733.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4733.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN4733.JPG
34,000034.jpg,DSCN4734.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4734.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN4734.JPG
35,000035.jpg,DSCN4735.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4735.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN4735.JPG
36,000036.jpg,DSCN4754.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4754.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN4754.JPG
37,000037.jpg,DSCN4755.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4755.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN4755.JPG
38,000038.jpg,DSCN5032.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN5032.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN5032.JPG
39,000039.jpg,DSCN5180.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN5180.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN5180.JPG
40,000040.jpg,DSCN5183.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN5183.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN5183.JPG
41,000041.jpg,DSCN5185.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN5185.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN5185.JPG
42,000042.jpg,DSCN5186.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN5186.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN5186.JPG
43,000043.jpg,2539589-1.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2539589-1.JPG,no,
44,000044.jpg,2539589-2.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2539589-2.JPG,no,
45,000045.jpg,2539590-1.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2539590-1.JPG,no,
46,000046.jpg,2544791-1 10x аншлиф.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2544791-1 10x аншлиф.JPG,no,
47,000047.jpg,2544791-2 10x аншлиф.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2544791-2 10x аншлиф.JPG,no,
48,000048.jpg,2544791-2 20x аншлиф.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2544791-2 20x аншлиф.JPG,no,
49,000049.jpg,2544793-2 10x аншлиф.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2544793-2 10x аншлиф.JPG,no,
50,000050.jpg,2548036 5x 1.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2548036 5x 1.JPG,no,
51,000051.jpg,2548036 5x 2.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2548036 5x 2.JPG,no,
52,000052.jpg,2548037 10x 2.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2548037 10x 2.JPG,no,
53,000053.jpg,2548037 10x 3.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2548037 10x 3.JPG,no,
54,000054.jpg,2550496-1 20x.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2550496-1 20x.JPG,no,
55,000055.jpg,2550501-1 20x.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2550501-1 20x.JPG,no,
56,000056.jpg,2550501-2 10x.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2550501-2 10x.JPG,no,
57,000057.jpg,2550501-3 10x (1).JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2550501-3 10x (1).JPG,no,
58,000058.jpg,2550506-1 5x.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2550506-1 5x.JPG,no,
59,000059.jpg,2550506-2 10x.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2550506-2 10x.JPG,no,
60,000060.jpg,2652979 10x 5.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2652979 10x 5.JPG,no,
61,000061.jpg,2652981 10x 5.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2652981 10x 5.JPG,no,
62,000062.jpg,2652982 5x 16.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2652982 5x 16.JPG,no,
63,000063.jpg,2652982 5x 2.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2652982 5x 2.JPG,no,
64,000064.jpg,2652982 5x 4.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2652982 5x 4.JPG,no,
65,000065.jpg,2652982 5x 7.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2652982 5x 7.JPG,no,
66,000066.jpg,2652982 5x 9.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/2652982 5x 9.JPG,no,
67,000067.jpg,DSCN2012.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN2012.JPG,no,
68,000068.jpg,DSCN2059.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN2059.JPG,no,
69,000069.jpg,DSCN2064.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN2064.JPG,no,
70,000070.jpg,DSCN2065.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN2065.JPG,no,
71,000071.jpg,DSCN2066.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN2066.JPG,no,
72,000072.jpg,DSCN2114.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN2114.JPG,no,
73,000073.jpg,DSCN2121.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN2121.JPG,no,
74,000074.jpg,DSCN2134.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN2134.JPG,no,
75,000075.jpg,DSCN2151.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN2151.JPG,no,
76,000076.jpg,DSCN2154.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN2154.JPG,no,
77,000077.jpg,DSCN2174.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN2174.JPG,no,
78,000078.jpg,DSCN2176.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN2176.JPG,no,
79,000079.jpg,DSCN2191.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN2191.JPG,no,
80,000080.jpg,DSCN2258.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN2258.JPG,no,
81,000081.jpg,DSCN2260.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN2260.JPG,no,
82,000082.jpg,DSCN2261.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN2261.JPG,no,
83,000083.jpg,DSCN2265.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN2265.JPG,no,
84,000084.jpg,DSCN3800.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3800.JPG,no,
85,000085.jpg,DSCN3801.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3801.JPG,no,
86,000086.jpg,DSCN3802.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3802.JPG,no,
87,000087.jpg,DSCN3804.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3804.JPG,no,
88,000088.jpg,DSCN3805.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3805.JPG,no,
89,000089.jpg,DSCN3820.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3820.JPG,no,
90,000090.jpg,DSCN3821.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3821.JPG,no,
91,000091.jpg,DSCN3824.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3824.JPG,no,
92,000092.jpg,DSCN3827.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3827.JPG,no,
93,000093.jpg,DSCN3831.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3831.JPG,no,
94,000094.jpg,DSCN3845.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3845.JPG,no,
95,000095.jpg,DSCN3859.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3859.JPG,no,
96,000096.jpg,DSCN3866.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3866.JPG,no,
97,000097.jpg,DSCN3867.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3867.JPG,no,
98,000098.jpg,DSCN3871.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3871.JPG,no,
99,000099.jpg,DSCN3872.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3872.JPG,no,
100,000100.jpg,DSCN3874.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3874.JPG,no,
101,000101.jpg,DSCN3875.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3875.JPG,no,
102,000102.jpg,DSCN3899.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3899.JPG,no,
103,000103.jpg,DSCN3902.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN3902.JPG,no,
104,000104.jpg,DSCN4051.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN4051.JPG,no,
105,000105.jpg,DSCN4054.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN4054.JPG,no,
106,000106.jpg,DSCN5019.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN5019.JPG,no,
107,000107.jpg,DSCN5024.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN5024.JPG,no,
108,000108.jpg,DSCN5025.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN5025.JPG,no,
109,000109.jpg,DSCN5179.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN5179.JPG,no,
110,000110.jpg,DSCN5182.JPG,ch1_detail,Фото руд по сортам. ч1/Рядовые руды/DSCN5182.JPG,no,
111,000111.jpg,2539439-3.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2539439-3.JPG,no,
112,000112.jpg,2539444-1.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2539444-1.JPG,no,
113,000113.jpg,2539446-2.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2539446-2.JPG,no,
114,000114.jpg,2539448-2.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2539448-2.JPG,no,
115,000115.jpg,2539448-3.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2539448-3.JPG,no,
116,000116.jpg,2539586-1.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2539586-1.JPG,no,
117,000117.jpg,2539586-2.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2539586-2.JPG,no,
118,000118.jpg,2539586-3.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2539586-3.JPG,no,
119,000119.jpg,2539588-2.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2539588-2.JPG,no,
120,000120.jpg,2544796-2 20x аншлиф.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2544796-2 20x аншлиф.JPG,no,
121,000121.jpg,2548044 10x 1.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2548044 10x 1.JPG,no,
122,000122.jpg,2548044 10x 2.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2548044 10x 2.JPG,no,
123,000123.jpg,2548045 10x 1.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2548045 10x 1.JPG,no,
124,000124.jpg,2548045 20x 1.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2548045 20x 1.JPG,no,
125,000125.jpg,2550376-2 10x.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2550376-2 10x.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/2550376-2 10x.JPG
126,000126.jpg,2550379-1 10x.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2550379-1 10x.JPG,no,
127,000127.jpg,2550383-2 20x.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2550383-2 20x.JPG,no,
128,000128.jpg,2550483-2 10x.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2550483-2 10x.JPG,no,
129,000129.jpg,2550492- 10x.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2550492- 10x.JPG,no,
130,000130.jpg,2550492-1 20x.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2550492-1 20x.JPG,no,
131,000131.jpg,2550494-1 20x.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2550494-1 20x.JPG,no,
132,000132.jpg,2550496-3 10x.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2550496-3 10x.JPG,no,
133,000133.jpg,2550500-1 10x.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2550500-1 10x.JPG,no,
134,000134.jpg,2550500-2 10x.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2550500-2 10x.JPG,no,
135,000135.jpg,2652970 10x 1.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2652970 10x 1.JPG,no,
136,000136.jpg,2652970 5x 1.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2652970 5x 1.JPG,no,
137,000137.jpg,2652973 10x 1.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2652973 10x 1.JPG,no,
138,000138.jpg,2652973 10x 3.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2652973 10x 3.JPG,no,
139,000139.jpg,2652976 10x 2.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2652976 10x 2.JPG,no,
140,000140.jpg,2652976 10x 3.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2652976 10x 3.JPG,no,
141,000141.jpg,2652979 10x 10.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2652979 10x 10.JPG,no,
142,000142.jpg,2652980 10x 2.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2652980 10x 2.JPG,no,
143,000143.jpg,2652980 10x 4.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2652980 10x 4.JPG,no,
144,000144.jpg,2652980 10x 8.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/2652980 10x 8.JPG,no,
145,000145.jpg,DSCN2043.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN2043.JPG,no,
146,000146.jpg,DSCN2046.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN2046.JPG,no,
147,000147.jpg,DSCN2049.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN2049.JPG,no,
148,000148.jpg,DSCN2062.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN2062.JPG,no,
149,000149.jpg,DSCN2128.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN2128.JPG,no,
150,000150.jpg,DSCN2150.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN2150.JPG,no,
151,000151.jpg,DSCN2155.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN2155.JPG,no,
152,000152.jpg,DSCN2157.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN2157.JPG,no,
153,000153.jpg,DSCN2158.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN2158.JPG,no,
154,000154.jpg,DSCN2160.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN2160.JPG,no,
155,000155.jpg,DSCN2166.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN2166.JPG,no,
156,000156.jpg,DSCN2236.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN2236.JPG,no,
157,000157.jpg,DSCN2244.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN2244.JPG,no,
158,000158.jpg,DSCN2249.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN2249.JPG,no,
159,000159.jpg,DSCN2250.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN2250.JPG,no,
160,000160.jpg,DSCN2256.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN2256.JPG,no,
161,000161.jpg,DSCN3830.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN3830.JPG,no,
162,000162.jpg,DSCN3833.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN3833.JPG,no,
163,000163.jpg,DSCN3836.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN3836.JPG,no,
164,000164.jpg,DSCN4055.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN4055.JPG,no,
165,000165.jpg,DSCN4058.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN4058.JPG,no,
166,000166.jpg,DSCN4636.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN4636.JPG,no,
167,000167.jpg,DSCN4748.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN4748.JPG,no,
168,000168.jpg,DSCN4749.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN4749.JPG,no,
169,000169.jpg,DSCN4751.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN4751.JPG,no,
170,000170.jpg,DSCN4770.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN4770.JPG,no,
171,000171.jpg,DSCN4785.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN4785.JPG,no,
172,000172.jpg,DSCN4788.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN4788.JPG,no,
173,000173.jpg,DSCN4789.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN4789.JPG,no,
174,000174.jpg,DSCN4790.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN4790.JPG,no,
175,000175.jpg,DSCN5037.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN5037.JPG,no,
176,000176.jpg,DSCN5039.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN5039.JPG,no,
177,000177.jpg,DSCN5049.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN5049.JPG,no,
178,000178.jpg,DSCN5181.JPG,ch1_detail,Фото руд по сортам. ч1/Труднообогатимые руды/DSCN5181.JPG,no,
179,000179.jpg,-1.jpg,ch2_detail,Фото руд по сортам. ч2/оталькованные/-1.jpg,no,
180,000180.jpg,-10.jpg,ch2_detail,Фото руд по сортам. ч2/оталькованные/-10.jpg,no,
181,000181.jpg,-11.jpg,ch2_detail,Фото руд по сортам. ч2/оталькованные/-11.jpg,no,
182,000182.jpg,-12.jpg,ch2_detail,Фото руд по сортам. ч2/оталькованные/-12.jpg,no,
183,000183.jpg,-13.jpg,ch2_detail,Фото руд по сортам. ч2/оталькованные/-13.jpg,no,
184,000184.jpg,-14.jpg,ch2_detail,Фото руд по сортам. ч2/оталькованные/-14.jpg,no,
185,000185.jpg,-15.jpg,ch2_detail,Фото руд по сортам. ч2/оталькованные/-15.jpg,no,
186,000186.jpg,-16.jpg,ch2_detail,Фото руд по сортам. ч2/оталькованные/-16.jpg,no,
